name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Clearwater city, Florida",1600000US1212875,110709,89704,81069,728,17652,3336,7583,11770,8215,14070,93722,54917,2887,19087,44617,12,12875,2014,Florida,12_12875,Clearwater
"Coral Springs city, Florida",1600000US1214400,127963,83957,86348,575,18008,2771,4067,13130,8690,22392,103863,75581,4984,10119,74321,12,14400,2014,Florida,12_14400,Coral Springs
"Davie town, Florida",1600000US1216475,98905,78648,65415,654,15989,3356,3235,8770,6528,14639,79138,54233,3704,12216,57465,12,16475,2014,Florida,12_16475,Davie town
"Deerfield Beach city, Florida",1600000US1216725,78898,53889,55533,1247,19739,1964,2215,7349,3906,9080,64480,38910,2599,16444,36493,12,16725,2014,Florida,12_16725,Deerfield Beach
"Delray Beach city, Florida",1600000US1217100,65054,37237,48361,390,11826,998,2308,7101,3212,9323,55634,32940,2928,16103,48174,12,17100,2014,Florida,12_17100,Delray Beach
"Deltona city, Florida",1600000US1217200,86907,71540,56888,666,20009,3792,3533,9955,6010,5866,67810,39994,3853,17261,37703,12,17200,2014,Florida,12_17200,Deltona
"Fort Lauderdale city, Florida",1600000US1224000,176018,115219,133172,3028,27128,4540,6283,18370,12265,29494,145883,96618,9548,37336,46829,12,24000,2014,Florida,12_24000,Fort Lauderdale
"Fort Myers city, Florida",1600000US1224125,70916,46198,48984,1188,12331,2139,2672,5319,4329,7375,56916,31569,1950,15119,41563,12,24125,2014,Florida,12_24125,Fort Myers
"Gainesville city, Florida",1600000US1225175,128474,84169,66602,178,11006,2832,4353,10166,5753,11898,114326,64545,7088,35491,33312,12,25175,2014,Florida,12_25175,Gainesville
"Hialeah city, Florida",1600000US1230000,235566,222473,174548,5058,60713,4001,8527,17940,12466,16450,199904,113737,8757,64118,29165,12,30000,2014,Florida,12_30000,Hialeah
"Hollywood city, Florida",1600000US1232000,148040,106466,107638,1917,29368,5150,4943,18161,9881,15903,124558,81086,5709,22735,45268,12,32000,2014,Florida,12_32000,Hollywood
"Homestead city, Florida",1600000US1232275,65514,48289,38509,2346,8780,1623,2613,5651,2847,3844,48042,31400,2608,18068,36646,12,32275,2014,Florida,12_32275,Homestead
"Jacksonville city, Florida",1600000US1235000,853376,508647,570520,6422,145921,25759,42255,90760,58709,96204,676118,432500,35934,157596,44591,12,35000,2014,Florida,12_35000,Jacksonville
"Kendall CDP, Florida",1600000US1236100,79143,69430,58320,650,13582,1341,2263,5581,4886,14419,66548,43821,2295,7423,60679,12,36100,2014,Florida,12_36100,Kendall CDP
"Kissimmee city, Florida",1600000US1236950,66729,44302,44186,398,14019,1429,3418,7496,2939,3748,51744,34674,3847,16545,35246,12,36950,2014,Florida,12_36950,Kissimmee
"Lakeland city, Florida",1600000US1238250,102335,73705,68662,1128,22617,2945,4641,9240,6315,11226,82174,43618,4462,18960,38195,12,38250,2014,Florida,12_38250,Lakeland
"Largo city, Florida",1600000US1239425,79028,68353,60898,238,16926,3471,5737,9195,6360,9518,67940,37736,3090,13131,37363,12,39425,2014,Florida,12_39425,Largo
"Lauderhill city, Florida",1600000US1239550,70636,16063,46665,1060,16334,2594,1588,7079,4348,4530,58337,36892,5513,19069,40810,12,39550,2014,Florida,12_39550,Lauderhill
"Lehigh Acres CDP, Florida",1600000US1239925,111416,77443,66621,719,19037,3754,3934,8801,5631,5801,82296,51431,5012,27893,41190,12,39925,2014,Florida,12_39925,Lehigh Acres CDP
"Melbourne city, Florida",1600000US1243975,78486,63745,57007,346,16969,1809,5939,8889,5453,7344,67137,37226,2310,13845,41816,12,43975,2014,Florida,12_43975,Melbourne
"Miami city, Florida",1600000US1245000,430341,315691,317928,10740,91876,7046,10466,34796,18580,47460,362474,227685,19649,110997,31917,12,45000,2014,Florida,12_45000,Miami
"Miami Beach city, Florida",1600000US1245025,91721,73268,71150,1257,13713,1607,3284,5667,7466,17401,77982,50208,2582,15805,47756,12,45025,2014,Florida,12_45025,Miami Beach
"Miami Gardens city, Florida",1600000US1245060,112270,23368,74576,1131,25988,3109,3937,11542,5582,7931,90250,55842,8410,24696,38150,12,45060,2014,Florida,12_45060,Miami Gardens
"Miramar city, Florida",1600000US1245975,134991,58241,87104,1101,17014,1647,6680,13465,10320,18171,104739,72454,6374,13391,67921,12,45975,2014,Florida,12_45975,Miramar
"Orlando city, Florida",1600000US1253000,262396,162828,179229,1715,38065,6383,9755,25498,21104,38954,212067,152457,10410,48397,41081,12,53000,2014,Florida,12_53000,Orlando
"Palm Bay city, Florida",1600000US1254000,105845,76043,74255,844,23151,3616,5932,13116,6836,9505,86464,48792,4556,15863,43043,12,54000,2014,Florida,12_54000,Palm Bay
